<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TCSG;D;200730;000000;1828.4;1828.4;1725;1778.2;186469
TCSG;D;200731;000000;1779.8;1875;1770.4;1870;188415
TCSG;D;200803;000000;1897;1904.2;1840.2;1879.2;250485
TCSG;D;200804;000000;1889.8;1893.8;1875;1884;81883
TCSG;D;200805;000000;1889.8;1952.8;1867.2;1951.4;162722
TCSG;D;200806;000000;1953;1996.2;1904.6;1943.2;282186
TCSG;D;200807;000000;1953.8;1962;1905.2;1919;125657
TCSG;D;200810;000000;1937;1944.2;1801;1856.2;377344
TCSG;D;200811;000000;1864.8;1888;1790;1800;278368
TCSG;D;200812;000000;1800;1848.8;1757;1824;227305
TCSG;D;200813;000000;1818;1818;1751;1770;268148
TCSG;D;200814;000000;1751.4;1762.2;1690.8;1720.6;316206
TCSG;D;200817;000000;1717;1799;1702.4;1788.4;419762
TCSG;D;200818;000000;1834.6;1834.6;1750;1771.2;151655
TCSG;D;200819;000000;1770.8;1855;1751.6;1804;338526
TCSG;D;200820;000000;1819.4;1845;1776.6;1824;268128
TCSG;D;200821;000000;1834.8;1900;1824.6;1892;264747
TCSG;D;200824;000000;1896;1930;1883.4;1922.8;122559
TCSG;D;200825;000000;1925;2000;1923.2;2000;212774
TCSG;D;200826;000000;2044;2050;1960.8;1981.2;200587
TCSG;D;200827;000000;1982.2;1989.2;1870;1895;256436
TCSG;D;200828;000000;1912.8;1912.8;1821;1876;194543
TCSG;D;200831;000000;1884.4;1950.4;1851.6;1893.4;266457
TCSG;D;200901;000000;1875.4;1875.4;1795.6;1815.2;335846
TCSG;D;200902;000000;1815;1869.6;1773;1835.8;237204
TCSG;D;200903;000000;1846.4;1866;1781;1788;233124
TCSG;D;200904;000000;1770;1820;1721.4;1800;181136
TCSG;D;200907;000000;1793.2;1905.4;1774;1888.2;246357
TCSG;D;200908;000000;1893.6;1919.8;1804;1845;292771
TCSG;D;200909;000000;1845;1858.4;1800;1821.6;212698
TCSG;D;200910;000000;1827.2;1859.6;1812.4;1839.4;93633
TCSG;D;200911;000000;1840.2;1859.8;1803.6;1821;140816
TCSG;D;200914;000000;1821.2;1857;1792.4;1830.6;127829
TCSG;D;200915;000000;1840.8;1925;1831.4;1916.8;272939
TCSG;D;200916;000000;1945;1988;1907.8;1968;266001
TCSG;D;200917;000000;1960;1997.6;1818;1963.2;329472
TCSG;D;200918;000000;1974;2014;1922;1962.2;237323
TCSG;D;200921;000000;1964.6;1995;1910;1954.2;278368
TCSG;D;200922;000000;1948;2195;1940.4;2165;850640
TCSG;D;200923;000000;2163;2165;2058.4;2083.2;1371965
TCSG;D;200924;000000;2105;2117.4;2014.4;2026;425186
TCSG;D;200925;000000;2037.6;2055;1965.6;2028.4;463630
TCSG;D;200928;000000;2028.4;2085;2015.8;2070;307086
TCSG;D;200929;000000;2083.8;2088.2;2036;2074.2;130216
TCSG;D;200930;000000;2068;2068;2023.2;2045.2;171049
TCSG;D;201001;000000;2078.8;2078.8;1985.4;2006;247028
TCSG;D;201002;000000;1999.8;2030;1986.8;2011;97379
TCSG;D;201005;000000;2002.2;2099.6;1981.2;2004.8;98484
TCSG;D;201006;000000;2010.2;2041;1980;1985;171066
TCSG;D;201007;000000;2004;2005;1945;1955.8;135644
TCSG;D;201008;000000;1950.2;1959;1924.8;1929;206242
TCSG;D;201009;000000;1926;2002;1910;1985.8;236690
TCSG;D;201012;000000;1980.2;2019;1871.8;1898;698847
TCSG;D;201013;000000;1896.8;1909.4;1840.6;1856.4;407628
TCSG;D;201014;000000;1860.2;1957;1830.2;1905.4;498795
