<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;210614;000000;0.0505;0.050745;0.0498;0.049935;30622580000
VTBR;D;210615;000000;0.050035;0.050295;0.048805;0.049165;57334660000
VTBR;D;210616;000000;0.049175;0.04962;0.047895;0.04838;71860750000
VTBR;D;210617;000000;0.048185;0.04872;0.04778;0.04846;60652480000
VTBR;D;210618;000000;0.04844;0.04848;0.0472;0.047345;73766660000
VTBR;D;210621;000000;0.047185;0.0485;0.0467;0.048265;58724780000
VTBR;D;210622;000000;0.048505;0.04863;0.0479;0.048225;39033730000
VTBR;D;210623;000000;0.04834;0.04861;0.047935;0.048225;28779910000
VTBR;D;210624;000000;0.048375;0.049215;0.04804;0.0485;52358780000
VTBR;D;210625;000000;0.048655;0.04894;0.048305;0.048635;21823920000
VTBR;D;210628;000000;0.048835;0.049725;0.04633;0.04961;57709030000
VTBR;D;210629;000000;0.049595;0.0496;0.04815;0.04866;52136440000
VTBR;D;210630;000000;0.0488;0.04898;0.0476;0.048475;75750080000
VTBR;D;210701;000000;0.048565;0.0491;0.04849;0.048915;40335010000
VTBR;D;210702;000000;0.048905;0.04901;0.04855;0.04877;21836410000
VTBR;D;210705;000000;0.04884;0.050775;0.04871;0.050545;65518730000
VTBR;D;210706;000000;0.05072;0.050875;0.049105;0.04948;62045660000
VTBR;D;210707;000000;0.04969;0.04993;0.049065;0.0494;48431040000
VTBR;D;210708;000000;0.04909;0.049165;0.0484;0.048695;45262600000
VTBR;D;210709;000000;0.048785;0.049175;0.04842;0.048995;34188300000
VTBR;D;210712;000000;0.049175;0.0493;0.048555;0.04889;31009840000
VTBR;D;210713;000000;0.048995;0.049055;0.04812;0.048225;36648440000
VTBR;D;210714;000000;0.047055;0.047475;0.04692;0.04731;39001740000
VTBR;D;210715;000000;0.0473;0.04785;0.04688;0.04719;38173290000
VTBR;D;210716;000000;0.04719;0.04775;0.04706;0.04725;33676270000
VTBR;D;210719;000000;0.04709;0.047215;0.045685;0.046;63299450000
VTBR;D;210720;000000;0.046115;0.046525;0.0458;0.04625;36741090000
VTBR;D;210721;000000;0.046225;0.047;0.04601;0.04693;24683160000
VTBR;D;210722;000000;0.04701;0.04741;0.046595;0.04676;29518320000
VTBR;D;210723;000000;0.046915;0.047045;0.04653;0.046735;24831820000
VTBR;D;210726;000000;0.04654;0.046785;0.046325;0.04658;32495510000
VTBR;D;210727;000000;0.046475;0.046695;0.046;0.046235;47592060000
VTBR;D;210728;000000;0.04634;0.04815;0.04623;0.048;61930910000
VTBR;D;210729;000000;0.04818;0.049;0.047845;0.04836;58742150000
VTBR;D;210730;000000;0.04834;0.048845;0.04767;0.04846;78190360000
VTBR;D;210802;000000;0.0489;0.0494;0.048585;0.048785;53822660000
VTBR;D;210803;000000;0.048825;0.049285;0.0481;0.048995;33794470000
VTBR;D;210804;000000;0.0491;0.04918;0.048845;0.049125;27314730000
VTBR;D;210805;000000;0.04919;0.049995;0.049;0.04968;40713830000
VTBR;D;210806;000000;0.04972;0.050325;0.049365;0.049945;44798830000
VTBR;D;210809;000000;0.04979;0.05145;0.0494;0.051005;60242480000
VTBR;D;210810;000000;0.05132;0.052125;0.0511;0.05185;58371550000
VTBR;D;210811;000000;0.0519;0.053135;0.051575;0.05312;67692920000
VTBR;D;210812;000000;0.05312;0.0534;0.05181;0.052075;59174230000
VTBR;D;210813;000000;0.05207;0.05267;0.051295;0.051445;34576570000
VTBR;D;210816;000000;0.051295;0.05242;0.051065;0.052385;30904730000
VTBR;D;210817;000000;0.052295;0.05309;0.05212;0.052385;51862550000
VTBR;D;210818;000000;0.052625;0.052795;0.051135;0.05119;36457840000
VTBR;D;210819;000000;0.05101;0.05102;0.049825;0.05048;66071730000
VTBR;D;210820;000000;0.050405;0.0511;0.04958;0.050685;43915320000
VTBR;D;210823;000000;0.0512;0.051415;0.050935;0.0513;22122610000
VTBR;D;210824;000000;0.05137;0.05174;0.05057;0.051065;34744650000
VTBR;D;210825;000000;0.05106;0.05129;0.0504;0.051085;25775330000
VTBR;D;210826;000000;0.05099;0.051085;0.0498;0.050045;30228780000
VTBR;D;210827;000000;0.050275;0.050875;0.0497;0.050805;32729420000
VTBR;D;210830;000000;0.05084;0.05225;0.05084;0.05215;50997930000
VTBR;D;210831;000000;0.05235;0.052995;0.052175;0.05269;72008770000
VTBR;D;210901;000000;0.05295;0.053215;0.05241;0.0532;39137980000
VTBR;D;210902;000000;0.05333;0.0535;0.05215;0.052445;37272650000
VTBR;D;210903;000000;0.0525;0.0529;0.05185;0.0524;43176820000
VTBR;D;210906;000000;0.052625;0.05454;0.0525;0.05409;67832490000
VTBR;D;210907;000000;0.05437;0.05484;0.05305;0.05364;54673900000
VTBR;D;210908;000000;0.0538;0.0544;0.05292;0.053785;50136860000
VTBR;D;210909;000000;0.0537;0.053705;0.052275;0.05239;46935220000
VTBR;D;210910;000000;0.05266;0.053225;0.05176;0.05195;35833760000
VTBR;D;210913;000000;0.052255;0.05255;0.0519;0.05255;30488970000
VTBR;D;210914;000000;0.05259;0.05275;0.051275;0.051495;45190150000
VTBR;D;210915;000000;0.051505;0.052485;0.051125;0.05212;57177400000
VTBR;D;210916;000000;0.052095;0.05239;0.05113;0.051635;41151280000
VTBR;D;210917;000000;0.05164;0.0519;0.0512;0.0514;37145880000
VTBR;D;210920;000000;0.051;0.05105;0.0494;0.04998;46619260000
VTBR;D;210921;000000;0.05025;0.050705;0.049455;0.050065;42503320000
VTBR;D;210922;000000;0.050505;0.05115;0.0499;0.050815;44608180000
VTBR;D;210923;000000;0.05102;0.051305;0.05015;0.050795;38142140000
VTBR;D;210924;000000;0.05076;0.051125;0.05038;0.050925;25031000000
VTBR;D;210927;000000;0.05132;0.05235;0.0511;0.052345;42785950000
VTBR;D;210928;000000;0.05241;0.05311;0.05055;0.050855;78922860000
VTBR;D;210929;000000;0.0508;0.051595;0.050465;0.05096;35752810000
VTBR;D;210930;000000;0.051205;0.05222;0.05114;0.05167;70384090000
VTBR;D;211001;000000;0.0512;0.0515;0.05083;0.051485;31062440000
VTBR;D;211004;000000;0.051425;0.0524;0.05094;0.05168;64507880000
VTBR;D;211005;000000;0.05191;0.053995;0.05158;0.053835;92923040000
VTBR;D;211006;000000;0.05398;0.0549;0.05271;0.05416;127190130000
VTBR;D;211007;000000;0.054505;0.0551;0.05371;0.05428;73785880000
VTBR;D;211008;000000;0.05431;0.05475;0.05383;0.054595;52683550000
VTBR;D;211011;000000;0.05488;0.05654;0.05473;0.05619;118882220000
VTBR;D;211012;000000;0.055815;0.05595;0.055205;0.05539;52215270000
VTBR;D;211013;000000;0.0555;0.05565;0.05434;0.05511;58989140000
VTBR;D;211014;000000;0.055375;0.056;0.05456;0.05537;68234340000
VTBR;D;211015;000000;0.0555;0.055745;0.05495;0.0556;33823140000
VTBR;D;211018;000000;0.05559;0.055825;0.05506;0.055765;28656530000
VTBR;D;211019;000000;0.05616;0.057495;0.055805;0.0574;102410640000
VTBR;D;211020;000000;0.05725;0.0575;0.056245;0.05661;69015200000
VTBR;D;211021;000000;0.056195;0.0565;0.05463;0.05516;72371810000
VTBR;D;211022;000000;0.05521;0.0559;0.054205;0.0544;65823070000
VTBR;D;211025;000000;0.054795;0.0562;0.053945;0.05617;64170560000
VTBR;D;211026;000000;0.056405;0.05642;0.055555;0.05597;56624650000
VTBR;D;211027;000000;0.05527;0.056;0.054925;0.05506;55190260000
VTBR;D;211028;000000;0.05494;0.055285;0.05308;0.053765;76476070000
VTBR;D;211029;000000;0.05346;0.05359;0.052;0.05273;93209870000
VTBR;D;211101;000000;0.05275;0.05355;0.05232;0.05354;58731860000
VTBR;D;211102;000000;0.0536;0.05372;0.05236;0.05282;56257250000
VTBR;D;211103;000000;0.052445;0.052985;0.0518;0.052885;47766520000
VTBR;D;211105;000000;0.052495;0.05286;0.05214;0.052815;31781040000
VTBR;D;211108;000000;0.0531;0.05337;0.051865;0.05237;47113600000
VTBR;D;211109;000000;0.05229;0.05237;0.051;0.05152;63044870000
VTBR;D;211110;000000;0.05138;0.051665;0.05;0.050025;73373900000
VTBR;D;211111;000000;0.050195;0.051485;0.05005;0.05125;74183260000
VTBR;D;211112;000000;0.05133;0.05154;0.04957;0.05029;92636560000
VTBR;D;211115;000000;0.050305;0.05231;0.05017;0.05189;87658880000
VTBR;D;211116;000000;0.052135;0.052245;0.05081;0.05104;51833980000
VTBR;D;211117;000000;0.050945;0.05196;0.050885;0.051565;37425310000
VTBR;D;211118;000000;0.0515;0.05301;0.05053;0.05255;88356330000
VTBR;D;211119;000000;0.053;0.05324;0.050125;0.050495;127245140000
VTBR;D;211122;000000;0.05019;0.05036;0.04803;0.048405;122087360000
VTBR;D;211123;000000;0.04815;0.05;0.047025;0.049875;105029940000
VTBR;D;211124;000000;0.05015;0.050365;0.048925;0.04935;47920780000
VTBR;D;211125;000000;0.049555;0.049695;0.04867;0.04879;34386400000
VTBR;D;211126;000000;0.04766;0.04799;0.04652;0.04658;87388770000
VTBR;D;211129;000000;0.0476;0.048055;0.046525;0.047375;86170700000
VTBR;D;211130;000000;0.04657;0.048;0.04644;0.047195;85805360000
VTBR;D;211201;000000;0.047745;0.048595;0.0472;0.04758;73891730000
VTBR;D;211202;000000;0.04762;0.04908;0.04762;0.04893;63022700000
VTBR;D;211203;000000;0.04915;0.049265;0.04818;0.04861;40929580000
VTBR;D;211206;000000;0.04879;0.04922;0.047435;0.04801;44443840000
VTBR;D;211207;000000;0.04801;0.048675;0.0471;0.04838;66568160000
VTBR;D;211208;000000;0.048505;0.04918;0.046655;0.047255;63970100000
VTBR;D;211209;000000;0.047335;0.047935;0.04647;0.046915;51939700000
VTBR;D;211210;000000;0.047045;0.0471;0.045815;0.045935;73401050000
VTBR;D;211213;000000;0.04607;0.046235;0.04247;0.04293;140553590000
VTBR;D;211214;000000;0.042885;0.04455;0.03909;0.04444;153659460000
VTBR;D;211215;000000;0.0445;0.04488;0.04346;0.044795;61033850000
VTBR;D;211216;000000;0.0448;0.04671;0.044795;0.04624;88077520000
VTBR;D;211217;000000;0.046145;0.04733;0.045635;0.046905;65035760000
VTBR;D;211220;000000;0.0465;0.046595;0.04535;0.046365;66018850000
VTBR;D;211221;000000;0.04651;0.047475;0.04606;0.04734;55892470000
VTBR;D;211222;000000;0.047275;0.048195;0.04695;0.047575;59553050000
VTBR;D;211223;000000;0.04759;0.0482;0.046975;0.0472;37773120000
VTBR;D;211224;000000;0.047225;0.047345;0.046205;0.04709;34994850000
VTBR;D;211227;000000;0.047035;0.04805;0.04701;0.04773;47058120000
VTBR;D;211228;000000;0.04782;0.04845;0.047675;0.048395;48831590000
VTBR;D;211229;000000;0.048415;0.04858;0.04776;0.04843;28213750000
VTBR;D;211230;000000;0.048425;0.048615;0.047925;0.048195;30718110000
VTBR;D;220103;000000;0.04835;0.049495;0.04835;0.04945;27952860000
VTBR;D;220104;000000;0.049455;0.04987;0.04906;0.0497;29795100000
VTBR;D;220105;000000;0.04959;0.049865;0.047175;0.04736;47637090000
VTBR;D;220106;000000;0.047365;0.0485;0.04705;0.048445;39690360000
VTBR;D;220110;000000;0.04868;0.049265;0.04822;0.04895;34752810000
VTBR;D;220111;000000;0.048995;0.0504;0.048675;0.05026;47473490000
VTBR;D;220112;000000;0.05024;0.05086;0.049875;0.05011;48695060000
VTBR;D;220113;000000;0.05009;0.05024;0.04584;0.047075;173662550000
VTBR;D;220114;000000;0.047375;0.04799;0.04384;0.04641;195047170000
VTBR;D;220117;000000;0.046505;0.046825;0.04486;0.0465;106291620000
VTBR;D;220118;000000;0.046535;0.046695;0.04307;0.043635;157232450000
VTBR;D;220119;000000;0.043045;0.0465;0.041125;0.045275;149932310000
VTBR;D;220120;000000;0.045265;0.04682;0.044805;0.045415;102642330000
VTBR;D;220121;000000;0.045095;0.04625;0.04376;0.043935;80605280000
VTBR;D;220124;000000;0.04436;0.044485;0.03955;0.04118;217292640000
VTBR;D;220125;000000;0.040995;0.0427;0.0406;0.042535;139074340000
VTBR;D;220126;000000;0.04254;0.042775;0.04055;0.04129;174290320000
VTBR;D;220127;000000;0.04078;0.04412;0.040665;0.0431;150166500000
VTBR;D;220128;000000;0.0433;0.044255;0.042645;0.043395;75263310000
VTBR;D;220131;000000;0.043565;0.0444;0.043;0.04378;94736510000
VTBR;D;220201;000000;0.0438;0.044095;0.042215;0.042695;94942590000
VTBR;D;220202;000000;0.04294;0.043225;0.04188;0.0424;67025650000
VTBR;D;220203;000000;0.042195;0.042345;0.0408;0.041245;67836610000
VTBR;D;220204;000000;0.04162;0.042125;0.040725;0.04125;66771180000
VTBR;D;220207;000000;0.0412;0.04164;0.040575;0.0411;51173100000
VTBR;D;220208;000000;0.041195;0.04223;0.040885;0.042205;97398660000
VTBR;D;220209;000000;0.04234;0.043;0.042055;0.04274;119411110000
VTBR;D;220210;000000;0.04274;0.0429;0.04165;0.0419;104282660000
VTBR;D;220211;000000;0.04182;0.04205;0.0401;0.0405;102153250000
VTBR;D;220214;000000;0.04004;0.04055;0.038635;0.040285;144102300000
VTBR;D;220215;000000;0.0404;0.041895;0.040335;0.041885;97496180000
VTBR;D;220216;000000;0.042045;0.04338;0.042;0.042925;121135790000
VTBR;D;220217;000000;0.042925;0.04295;0.04086;0.041185;115789030000
VTBR;D;220218;000000;0.04137;0.04188;0.03882;0.03929;135828150000
VTBR;D;220221;000000;0.03915;0.0402;0.0292;0.03212;472533630000
VTBR;D;220222;000000;0.03197;0.03458;0.02896;0.034215;417804630000
VTBR;D;220224;000000;0.03051;0.03051;0.01639;0.0201;425562810000
VTBR;D;220225;000000;0.0202;0.022695;0.01825;0.02011;220823080000
VTBR;D;220324;000000;0.01811;0.02177;0.015995;0.019;128516470000
VTBR;D;220325;000000;0.019685;0.019805;0.0171;0.0175;71122410000
VTBR;D;220328;000000;0.01755;0.017695;0.0165;0.01685;37849850000
VTBR;D;220329;000000;0.01687;0.017945;0.01622;0.0165;58790390000
VTBR;D;220330;000000;0.0175;0.017545;0.016945;0.017155;40451440000
VTBR;D;220331;000000;0.017355;0.01992;0.017355;0.0198;183083970000
VTBR;D;220401;000000;0.0205;0.023845;0.019895;0.0225;241831410000
VTBR;D;220404;000000;0.02302;0.02515;0.0225;0.0251;298584840000
VTBR;D;220405;000000;0.02581;0.02636;0.0218;0.02308;359917190000
VTBR;D;220406;000000;0.02209;0.0235;0.02122;0.02195;148251240000
VTBR;D;220407;000000;0.021995;0.023115;0.021995;0.02281;80776180000
VTBR;D;220408;000000;0.02306;0.02328;0.022005;0.02236;55110920000
VTBR;D;220411;000000;0.02207;0.02263;0.0214;0.0215;58669590000
VTBR;D;220412;000000;0.021695;0.021695;0.02015;0.02111;72511420000
VTBR;D;220413;000000;0.02143;0.021615;0.02083;0.021135;36731250000
VTBR;D;220414;000000;0.021225;0.0213;0.019905;0.019935;44005550000
VTBR;D;220415;000000;0.01991;0.02062;0.019105;0.020125;63198340000
VTBR;D;220418;000000;0.020275;0.0205;0.01902;0.019025;43331310000
VTBR;D;220419;000000;0.019;0.019;0.01786;0.018695;63169520000
VTBR;D;220420;000000;0.018805;0.019355;0.018225;0.019295;60132100000
VTBR;D;220421;000000;0.01921;0.01928;0.018715;0.01898;29392050000
VTBR;D;220422;000000;0.01886;0.0196;0.01868;0.01881;31936630000
VTBR;D;220425;000000;0.018665;0.0187;0.01803;0.018155;30698630000
VTBR;D;220426;000000;0.01825;0.019565;0.01812;0.019125;59028070000
VTBR;D;220427;000000;0.019195;0.0201;0.0189;0.0199;77796630000
VTBR;D;220428;000000;0.0201;0.020395;0.01903;0.019115;70869050000
VTBR;D;220429;000000;0.019495;0.02039;0.01928;0.020095;102138410000
VTBR;D;220504;000000;0.020085;0.020495;0.01952;0.01959;41537560000
VTBR;D;220505;000000;0.01974;0.019915;0.0196;0.019795;19562390000
VTBR;D;220506;000000;0.01975;0.01975;0.019245;0.01948;21465400000
VTBR;D;220511;000000;0.01943;0.01975;0.019175;0.019305;24199980000
VTBR;D;220512;000000;0.019305;0.019375;0.018345;0.018555;26767340000
VTBR;D;220513;000000;0.018825;0.018895;0.01846;0.01865;15142150000
VTBR;D;220516;000000;0.018825;0.019145;0.01865;0.01898;19900740000
VTBR;D;220517;000000;0.01918;0.01948;0.01901;0.01933;26808760000
VTBR;D;220518;000000;0.019445;0.01992;0.0192;0.0192;37470010000
VTBR;D;220519;000000;0.0192;0.01938;0.01891;0.01917;19583300000
VTBR;D;220520;000000;0.01928;0.01939;0.018725;0.018875;20754880000
VTBR;D;220523;000000;0.018975;0.019085;0.018505;0.01857;18697890000
VTBR;D;220524;000000;0.018525;0.01888;0.0181;0.018705;26887610000
VTBR;D;220525;000000;0.0188;0.01894;0.0185;0.01881;20782040000
VTBR;D;220526;000000;0.01887;0.01908;0.018635;0.0188;32774150000
VTBR;D;220527;000000;0.01884;0.018875;0.01855;0.0186;18952420000
VTBR;D;220530;000000;0.018655;0.01876;0.018265;0.0183;25528620000
VTBR;D;220531;000000;0.01825;0.01839;0.018105;0.01831;14949870000
VTBR;D;220601;000000;0.01824;0.01859;0.0181;0.018495;24578460000
VTBR;D;220602;000000;0.01844;0.0185;0.017915;0.017935;30259930000
VTBR;D;220603;000000;0.017935;0.018095;0.017425;0.01755;30172470000
VTBR;D;220606;000000;0.01756;0.01768;0.0172;0.017415;20448590000
VTBR;D;220607;000000;0.01742;0.01742;0.016955;0.01721;26198300000
VTBR;D;220608;000000;0.01726;0.017695;0.017125;0.01734;26589610000
VTBR;D;220609;000000;0.0174;0.017415;0.016975;0.01703;16235280000
VTBR;D;220610;000000;0.01707;0.01719;0.01695;0.017;15995740000
VTBR;D;220614;000000;0.01699;0.01765;0.01675;0.017495;32441280000
VTBR;D;220615;000000;0.017525;0.01797;0.01752;0.0176;35771130000
VTBR;D;220616;000000;0.017655;0.017835;0.0175;0.017795;31402580000
VTBR;D;220617;000000;0.017805;0.01821;0.017715;0.0179;39078130000
VTBR;D;220620;000000;0.018045;0.018855;0.018;0.01874;48069830000
VTBR;D;220621;000000;0.0189;0.01897;0.0182;0.018205;47016910000
VTBR;D;220622;000000;0.018095;0.01851;0.01781;0.01851;39241420000
VTBR;D;220623;000000;0.0185;0.01897;0.018275;0.018585;51670650000
VTBR;D;220624;000000;0.018675;0.018785;0.018325;0.0186;26523510000
VTBR;D;220627;000000;0.018595;0.01917;0.01855;0.0191;47820820000
VTBR;D;220628;000000;0.019155;0.01953;0.01882;0.0193;53870480000
VTBR;D;220629;000000;0.01934;0.019345;0.018585;0.018705;35825570000
VTBR;D;220630;000000;0.018695;0.01895;0.0176;0.01778;57666130000
VTBR;D;220701;000000;0.017705;0.01825;0.017315;0.017505;33432430000
VTBR;D;220704;000000;0.017765;0.01855;0.01776;0.01855;41369330000
VTBR;D;220705;000000;0.01856;0.0191;0.018495;0.018785;61697750000
VTBR;D;220706;000000;0.018625;0.0191;0.018585;0.01872;31550960000
VTBR;D;220707;000000;0.01881;0.01888;0.0185;0.018735;22793800000
VTBR;D;220708;000000;0.01885;0.01894;0.01862;0.01883;18528610000
VTBR;D;220711;000000;0.0187;0.01887;0.01827;0.018325;23498180000
VTBR;D;220712;000000;0.01836;0.018475;0.01805;0.018165;30734330000
VTBR;D;220713;000000;0.018295;0.01843;0.01777;0.017885;24043470000
VTBR;D;220714;000000;0.01792;0.0182;0.017735;0.01775;22500680000
VTBR;D;220715;000000;0.01786;0.018065;0.01768;0.017985;23278790000
VTBR;D;220718;000000;0.01807;0.018235;0.017875;0.01808;19889820000
VTBR;D;220719;000000;0.018095;0.018415;0.01783;0.018405;30456000000
VTBR;D;220720;000000;0.01852;0.018745;0.018205;0.01823;31897170000
VTBR;D;220721;000000;0.01823;0.018315;0.017875;0.01818;24686980000
VTBR;D;220722;000000;0.01817;0.018565;0.018135;0.01839;23638050000
VTBR;D;220725;000000;0.01835;0.018675;0.01827;0.01851;21544340000
VTBR;D;220726;000000;0.01857;0.01877;0.01851;0.01863;22149170000
VTBR;D;220727;000000;0.01863;0.01885;0.0184;0.01845;26586790000
VTBR;D;220728;000000;0.018565;0.018635;0.018275;0.0185;16013640000
VTBR;D;220729;000000;0.01854;0.0186;0.01835;0.018585;16427800000
VTBR;D;220801;000000;0.018595;0.018615;0.018155;0.018155;19909500000
VTBR;D;220802;000000;0.018145;0.01827;0.017985;0.01801;20967480000
VTBR;D;220803;000000;0.018045;0.01815;0.0178;0.0178;19763460000
VTBR;D;220804;000000;0.01789;0.018085;0.017805;0.017945;15671130000
VTBR;D;220805;000000;0.018015;0.018025;0.017455;0.01762;25324400000
VTBR;D;220808;000000;0.01785;0.017995;0.017655;0.017655;23712320000
VTBR;D;220809;000000;0.01771;0.017935;0.017535;0.01792;18264820000
VTBR;D;220810;000000;0.01788;0.018125;0.017785;0.01807;18717920000
VTBR;D;220811;000000;0.0181;0.01817;0.017755;0.01785;18812880000
VTBR;D;220812;000000;0.017855;0.018;0.01768;0.017955;14779500000
VTBR;D;220815;000000;0.01792;0.018085;0.01779;0.018;17773190000
VTBR;D;220816;000000;0.01803;0.01813;0.017915;0.018065;17934070000
VTBR;D;220817;000000;0.01811;0.0185;0.01811;0.01818;41010650000
VTBR;D;220818;000000;0.01819;0.0183;0.01802;0.01814;15496020000
VTBR;D;220819;000000;0.01818;0.01818;0.017915;0.018;16957090000
VTBR;D;220822;000000;0.017965;0.01811;0.017875;0.01804;16459050000
VTBR;D;220823;000000;0.01801;0.018365;0.01801;0.01833;22557560000
VTBR;D;220824;000000;0.018385;0.01844;0.01815;0.018275;17098860000
VTBR;D;220825;000000;0.018275;0.0184;0.0181;0.018145;15843970000
VTBR;D;220826;000000;0.018195;0.018295;0.0181;0.01824;10832780000
VTBR;D;220829;000000;0.018235;0.01869;0.01818;0.01865;26883380000
VTBR;D;220830;000000;0.01875;0.01898;0.01856;0.018795;49812660000
VTBR;D;220831;000000;0.01915;0.01957;0.018925;0.019345;76951710000
VTBR;D;220901;000000;0.019345;0.019685;0.019125;0.01953;48242830000
VTBR;D;220902;000000;0.019655;0.02018;0.0195;0.02009;78642590000
VTBR;D;220905;000000;0.02018;0.02069;0.01976;0.02067;72265010000
VTBR;D;220906;000000;0.020535;0.0208;0.019505;0.01991;99650270000
VTBR;D;220907;000000;0.019915;0.02046;0.0197;0.01988;57437290000
VTBR;D;220908;000000;0.0199;0.0201;0.0196;0.01965;47956600000
VTBR;D;220909;000000;0.0198;0.01995;0.01966;0.01986;30038190000
VTBR;D;220912;000000;0.01975;0.02028;0.01963;0.02013;48490620000
VTBR;D;220913;000000;0.020235;0.020385;0.01991;0.019945;46004310000
VTBR;D;220914;000000;0.01991;0.020105;0.01965;0.020045;44456110000
VTBR;D;220915;000000;0.02004;0.02015;0.01989;0.020035;32113790000
VTBR;D;220916;000000;0.02001;0.020195;0.01982;0.01994;38118060000
VTBR;D;220919;000000;0.0199;0.02007;0.019835;0.019875;24316620000
VTBR;D;220920;000000;0.01988;0.01997;0.01795;0.01845;131594300000
VTBR;D;220921;000000;0.016995;0.0183;0.016805;0.01743;96593990000
VTBR;D;220922;000000;0.01746;0.01831;0.017435;0.01795;57856640000
