<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;220602;000000;204.3;205;199.54;201.54;6940700
GMKN;D;220603;000000;202.02;204.8;201.06;203.14;5884000
GMKN;D;220606;000000;203.38;207.2;202.5;202.94;5617900
GMKN;D;220607;000000;203.5;203.7;198.1;202;5584100
GMKN;D;220608;000000;202;202.62;200.52;201.34;4935700
GMKN;D;220609;000000;201.48;203.48;199;203.1;8644900
GMKN;D;220610;000000;193.5;195.54;192.66;194.9;9403300
GMKN;D;220614;000000;193.98;193.98;190.02;191.02;5074400
GMKN;D;220615;000000;191.04;191.56;188.18;190.4;6892300
GMKN;D;220616;000000;190.48;194.78;189.72;193.7;6960700
GMKN;D;220617;000000;193.68;193.68;191;191.94;3856100
GMKN;D;220620;000000;191.88;192.24;190.44;191.8;4618900
GMKN;D;220621;000000;191.7;192.18;188.2;188.2;5333700
GMKN;D;220622;000000;188.04;189.4;186;189.4;5870000
GMKN;D;220623;000000;188.86;192.3;186.52;191;6965300
GMKN;D;220624;000000;190.9;191.98;187.4;189.34;3824300
GMKN;D;220627;000000;188.64;188.86;184.5;185.86;7532500
GMKN;D;220628;000000;185.86;185.88;181.12;182.52;7377600
GMKN;D;220629;000000;182.14;182.5;175.6;176.52;13000000
GMKN;D;220630;000000;177.02;179.44;170.14;174;13929000
GMKN;D;220701;000000;174.42;177.42;170;171;9148700
GMKN;D;220704;000000;170.5;173.5;168.4;170.24;6656800
GMKN;D;220705;000000;172.06;178.22;158.26;167;26780900
GMKN;D;220706;000000;166;169.8;162.82;164.52;8967400
GMKN;D;220707;000000;164.6;166.96;163.2;165.5;5198900
GMKN;D;220708;000000;166.24;168;165.16;167.2;3818600
GMKN;D;220711;000000;166.9;168.98;161.12;162.7;5241200
GMKN;D;220712;000000;162.02;162.54;159;159.22;5395500
GMKN;D;220713;000000;159.5;160.2;150.6;152;12641400
GMKN;D;220714;000000;152.88;154.8;150;153.02;11073200
GMKN;D;220715;000000;153.88;156.26;151.6;156;7591900
GMKN;D;220718;000000;157.46;158.64;151.02;152.82;7932400
GMKN;D;220719;000000;152.5;153;148;149.14;7807200
GMKN;D;220720;000000;149.4;150.5;148.54;150.5;5001100
GMKN;D;220721;000000;150.12;150.84;146.26;148;7178900
GMKN;D;220722;000000;148.2;149.8;146;147.3;8664300
GMKN;D;220725;000000;148.5;148.5;146.8;147.94;9016800
GMKN;D;220726;000000;148.5;158.76;148.38;158.5;17346500
GMKN;D;220727;000000;158.58;162.7;153.68;156.4;20534700
GMKN;D;220728;000000;157.32;158.66;153.16;155;11843300
GMKN;D;220729;000000;154;162.3;153.26;161.5;13818500
GMKN;D;220801;000000;162;163.88;155.74;155.9;12291800
GMKN;D;220802;000000;155.9;156.46;151.16;151.4;12006800
GMKN;D;220803;000000;151.48;154.34;147.52;147.54;14558800
GMKN;D;220804;000000;147.44;148.68;146.06;147.1;9984100
GMKN;D;220805;000000;147.28;148.2;143;143.94;10919600
GMKN;D;220808;000000;147.9;147.9;144.5;144.58;6316400
GMKN;D;220809;000000;144.98;151.74;143.72;151.5;9521400
GMKN;D;220810;000000;151.48;153.38;148.22;149.7;11964800
GMKN;D;220811;000000;150.32;151.6;148.36;149.08;6030300
GMKN;D;220812;000000;149.06;149.6;147.2;148.26;4200600
GMKN;D;220815;000000;148.2;151.42;147.02;151.42;7064000
GMKN;D;220816;000000;151.44;154.9;151.02;154.44;7519600
GMKN;D;220817;000000;154.9;155.98;151.62;153.7;6150600
GMKN;D;220818;000000;153.58;153.88;150.6;151.6;5383300
GMKN;D;220819;000000;151.6;153.56;149.8;153.3;4960800
GMKN;D;220822;000000;152.96;155.42;152.68;154.3;7223400
GMKN;D;220823;000000;154.28;157.88;153.28;155.92;9266200
GMKN;D;220824;000000;156.14;156.66;153.8;154.58;4863000
GMKN;D;220825;000000;154.58;155.98;153.02;153.84;5739600
GMKN;D;220826;000000;154.32;154.36;152.02;153.92;4075200
GMKN;D;220829;000000;153.92;156.04;153.4;155.94;4112700
GMKN;D;220830;000000;155.94;157.66;154.2;156.5;7937700
GMKN;D;220831;000000;157.5;161.4;157.04;161.4;11376300
GMKN;D;220901;000000;161.54;166.7;159.1;166;11081400
